Data,Godzina,Generacja źródeł wiatrowych,Generacja źródeł fotowoltaicznych
2022-01-07,10,2998.800,585.625
2022-01-07,11,2742.513,1092.788
2022-01-07,12,2482.375,1380.950
2022-01-07,13,2411.100,1401.488
2022-01-07,14,2447.263,1277.688
2022-01-07,15,2582.038,732.250
2022-01-07,16,2976.425,242.025
2022-01-07,17,3373.013,13.350
2022-01-07,18,3536.525,0.000
2022-01-07,19,3589.863,0.000
2022-01-07,20,3583.738,0.000
2022-01-07,21,3504.725,0.000
2022-01-07,22,3243.750,0.000
2022-01-07,23,3058.438,0.000
2022-01-07,24,2737.475,0.000
2022-01-08,1,2471.975,0.000
2022-01-08,2,2423.350,0.013
2022-01-08,3,2424.825,0.100
2022-01-08,4,2401.838,0.075
2022-01-08,5,2274.650,0.013
2022-01-08,6,2206.050,0.000
2022-01-08,7,2203.650,0.000
2022-01-08,8,2228.400,1.950
2022-01-08,9,2269.588,98.888
2022-01-08,10,2225.538,339.400
2022-01-08,11,2164.950,639.363
2022-01-08,12,2101.613,735.313
2022-01-08,13,1946.450,712.400
2022-01-08,14,1897.575,687.413
2022-01-08,15,1851.013,450.250
2022-01-08,16,1826.650,154.825
2022-01-08,17,1894.813,8.100
2022-01-08,18,1937.425,0.038
2022-01-08,19,1990.075,0.088
2022-01-08,20,1963.550,0.075
2022-01-08,21,1781.075,0.000
2022-01-08,22,1544.638,0.025
2022-01-08,23,1462.263,0.000
2022-01-08,24,1574.738,0.000
2022-01-09,1,1616.263,0.000
2022-01-09,2,1648.825,0.000
2022-01-09,3,1839.975,0.000
2022-01-09,4,2021.488,0.000
2022-01-09,5,2142.175,0.000
2022-01-09,6,2507.575,0.000
2022-01-09,7,2685.550,0.000
2022-01-09,8,2859.675,2.050
2022-01-09,9,2860.150,116.550
2022-01-09,10,2628.275,599.638
2022-01-09,11,2102.925,1110.963
2022-01-09,12,1699.225,1320.275
2022-01-09,13,1574.838,1313.050
2022-01-09,14,1521.138,1081.500
2022-01-09,15,1510.513,710.700
2022-01-09,16,1763.138,233.538
2022-01-09,17,2234.200,16.763
2022-01-09,18,2503.263,0.000
2022-01-09,19,2559.825,0.000
2022-01-09,20,2399.300,0.000
2022-01-09,21,2025.313,0.000
2022-01-09,22,1860.625,0.000
2022-01-09,23,1706.763,0.000
2022-01-09,24,1504.225,0.000
2022-01-10,1,1313.450,0.000
2022-01-10,2,1299.700,0.000
2022-01-10,3,1221.038,0.000
2022-01-10,4,1126.400,0.000
2022-01-10,5,1102.875,0.000
2022-01-10,6,1095.263,0.000
2022-01-10,7,1162.238,0.000
2022-01-10,8,1279.225,1.038
2022-01-10,9,1416.913,80.638
2022-01-10,10,1329.938,275.675
2022-01-10,11,872.900,657.675
2022-01-10,12,574.475,910.000
2022-01-10,13,506.463,927.663
2022-01-10,14,451.200,807.038
2022-01-10,15,532.300,603.825
2022-01-10,16,655.350,215.988
2022-01-10,17,932.563,11.438
2022-01-10,18,1188.425,0.000
2022-01-10,19,1436.900,0.000
2022-01-10,20,1342.588,0.000
2022-01-10,21,1297.175,0.000
2022-01-10,22,1256.088,0.000
2022-01-10,23,1184.013,0.000
2022-01-10,24,1005.188,0.000
2022-01-11,1,818.713,0.000
2022-01-11,2,752.050,0.000
2022-01-11,3,654.775,0.000
2022-01-11,4,524.788,0.000
2022-01-11,5,468.513,0.000
2022-01-11,6,384.925,0.000
2022-01-11,7,276.763,0.000
2022-01-11,8,184.850,1.513
2022-01-11,9,127.075,78.575
2022-01-11,10,94.950,425.350
2022-01-11,11,87.738,877.275
2022-01-11,12,71.038,1104.550
2022-01-11,13,62.275,1154.338
2022-01-11,14,65.263,1050.850
2022-01-11,15,81.463,680.413
2022-01-11,16,134.925,270.875
2022-01-11,17,237.275,18.963
2022-01-11,18,334.600,0.000
