ADB_COUNTRY_CODE,ISO_CODE,COUNTRY_NAME,Geographic Regions,EU Members,Top 5 RES Energy Producers
KAZ,KAZ,Kazakhstan,North Asia,Non-member,other
KEN,KEN,Kenya,Africa,Non-member,other
KIR,KIR,Kiribati,Unclassified,Non-member,other
KUW,KWT,Kuwait,Middle East,Non-member,other
KRY,KGZ,Kyrgyzstan,North Asia,Non-member,other
LAOS,LAO,Laos,Asia Pacific,Non-member,other
LAT,LVA,Latvia,Europe,EU Member,other
LEB,LBN,Lebanon,Middle East,Non-member,other
LES,LSO,Lesotho,Africa,Non-member,other
LIBE,LBR,Liberia,Africa,Non-member,other
LIB,LBY,Libya,Africa,Non-member,other
LIC,LIE,Liechtenstein,Europe,Non-member,other
LIT,LTU,Lithuania,Europe,EU Member,other
LUX,LUX,Luxembourg,Europe,EU Member,other
MAC,MAC,Macau,China,Non-member,other
MCD,MKD,Macedonia,Europe,Non-member,other
MAD,MDG,Madagascar,Africa,Non-member,other
MLWI,MWI,Malawi,Africa,Non-member,other
MAL,MYS,Malaysia,Asia Pacific,Non-member,other
MALD,MDV,Maldives,Asia Pacific,Non-member,other
MALI,MLI,Mali,Africa,Non-member,other
MALT,MLT,Malta,Middle East,EU Member,other
MHL,MHL,Marshall Islands,Asia Pacific,Non-member,other
MART,MTQ,Martinique,Latin America & Caribbean,Non-member,other
MAUR,MRT,Mauritania,Africa,Non-member,other
MRTS,MUS,Mauritius,Africa,Non-member,other
MYT,MYT,Mayotte,Unclassified,Non-member,other
MEX,MEX,Mexico,Latin America & Caribbean,Non-member,other
FSM,FSM,"Micronesia, Federated States Of",Asia Pacific,Non-member,other
MOL,MDA,Moldova,Europe,Non-member,other
MON,MCO,Monaco,Europe,Non-member,other
MO,MNG,Mongolia,North Asia,Non-member,other
MNE,MNE,Montenegro,Europe,Non-member,other
MSR,MSR,Montserrat,Unclassified,Non-member,other
MOR,MAR,Morocco,Africa,Non-member,other
MOC,MOZ,Mozambique,Africa,Non-member,other
BURM,MMR,Myanmar,Asia Pacific,Non-member,other
NAM,NAM,Namibia,Africa,Non-member,other
NAU,NRU,Nauru,Asia Pacific,Non-member,other
NEP,NPL,Nepal,Middle East,Non-member,other
NET,NLD,Netherlands,Europe,Non-member,other
NETA,NDL,Netherlands Antilles,Europe,EU Member,other
NEWC,NCL,New Caledonia,Asia Pacific,Non-member,other
NZ,NZL,New Zealand,Asia Pacific,Non-member,other
NIC,NIC,Nicaragua,Latin America & Caribbean,Non-member,other
NIGE,NER,Niger,Africa,Non-member,other
NIG,NGA,Nigeria,Africa,Non-member,other
NIU,NIU,Niue,Unclassified,Non-member,other
NFK,NFK,Norfolk Island,Unclassified,Non-member,other
NKOR,PRK,North Korea,North Asia,Non-member,other
